longitud,latitud,address,restaurant
18.07790,59.33503,"McDonald´s - Nybrogatan 18, Stockholm",mcd
18.10016,59.26252,"McDonald´s - Bogårdsvägen 30, Sköndal",mcd
17.89814,59.54964,"McDonald´s - Rastplats Stora Wäsby, Södergående, Upplands Väsby",mcd
11.96986,57.70856,"McDonald´s - Postgatan 28, Göteborg",mcd
11.9333,57.7195,"McDonald´s - Rambergsvallen, Inlandsgatan 50, Göteborg",mcd
18.06852,59.33083,"McDonald´s - Regeringsgatan 20, Stockholm",mcd
13.05514,55.58390,"McDonald´s - Thomsons väg 1, Malmö",mcd
17.94404,59.37997,"McDonald´s - Madenvägen 3, Sundbyberg",mcd
12.93512,57.73281,"McDonald´s - Ålgårdsvägen 2, Borås",mcd
13.84617,58.39031,"McDonald´s - Rådhusgatan 8, Skövde",mcd
14.76413,56.88293,"McDonald´s - Hejaregatan 18, Växjö",mcd
11.98695,57.69983,"McDonald´s - Valhallagatan 1, Göteborg",mcd
18.06385,59.33356,"McDonald´s - Sergelgatan 4, Stockholm",mcd
18.1287,59.3056,"McDonald´s - Siroccogatan 6, Nacka",mcd
13.46068,58.39019,"McDonald´s - Vilangatan 6, Skara",mcd
16.54956,59.61064,"McDonald´s - Aroscenter 1210, Västerås",mcd
12.12537,57.74116,"McDonald´s - Gamla Kronvägen 66, Partille",mcd
17.93039,59.64889,"McDonald´s - Arlanda Flygplats, Arlanda",mcd
17.90709,59.27617,"McDonald´s - Bredholmsgatan 18, Skärholmen",mcd
18.07379,59.31922,"McDonald´s - Katarinavägen 1-3, Stockholm",mcd
18.01664,59.35282,"McDonald´s - Solnavägen 17, Solna",mcd
13.23692,55.64253,"McDonald´s - Staffanstorp, Staffanstorp",mcd
12.70483,56.05767,"McDonald´s - Ängelholmsvägen 8, Helsingborg",mcd
16.56363,59.63641,"McDonald´s - Kraftlinjegatan 1, Västerås",mcd
17.56102,59.84972,"McDonald´s - Fyrisparksvägen 1, Uppsala",mcd
11.81754,58.06186,"McDonald´s - Stenunge allé 1, Stenungsund",mcd
11.9921,57.7470,"McDonald´s - Importgatan 1, Hisings Backa",mcd
13.81885,56.17062,"McDonald´s - Mackgatan 4, Hässleholm",mcd
16.16553,58.60275,"McDonald´s - Apelgatan 18, Norrköping",mcd
12.93844,57.73210,"McDonald´s - Bergslenagatan 8 , Borås",mcd
17.0174,59.3285,"McDonald´s - Kvartsgatan 2, Strängnäs",mcd
15.96640,59.51785,"McDonald´s - Ringvägen 80, Köping",mcd
17.81084,59.46917,"McDonald´s - Skarprättarvägen 40, Järfälla",mcd
17.96879,59.36206,"McDonald´s - Stationsgatan 1, Sundbyberg",mcd
17.3302,62.4415,"McDonald´s - Sundsvall - Klökanvägen 3, Sundsvall",mcd
18.05589,59.34345,"McDonald´s - Sveavägen 71, Stockholm",mcd
13.24537,55.51567,"McDonald´s - Verkstadsgatan 11, Svedala",mcd
15.82736,59.42578,"McDonald´s - Sätra Trafikplats Hamre, Arboga",mcd
18.16063,59.18097,"McDonald´s - Österport 6, Haninge",mcd
17.02815,61.29840,"McDonald´s - Pinassvägen 1, Söderhamn",mcd
15.19817,59.26456,"McDonald´s - Södermalmsplan 1, Örebro",mcd
13.90632,56.81418,"McDonald´s - Södra infarten - Ringvägen 1C, Ljungby",mcd
18.03226,59.33373,"McDonald´s - S:t Eriksgatan 32, Stockholm",mcd
15.59008,58.43264,"McDonald´s - Svedengatan 14, Linköping",mcd
11.8092,58.3524,"McDonald´s - Torp Köpcentrum, Uddevalla",mcd
14.07376,57.16311,"McDonald´s - Trafikplats Värnamo Södra, Värnamo",mcd
13.12066,55.38405,"McDonald´s - Hedvägen 203, Trelleborg",mcd
17.84152,59.19859,"McDonald´s - Bryggarevägen 5, Tumba",mcd
18.23099,59.24928,"McDonald´s - Siklöjevägen 1, Tyresö",mcd
18.07110,59.44490,"McDonald´s - Täby Centrum 168, Täby",mcd
11.819100,59.510201,"McDonald´s - Linudden1, Töcksfors",mcd
11.93268,58.34957,"McDonald´s - Kungsgatan 2, Uddevalla",mcd
20.26189,63.82600,"McDonald´s - Västra Rådhusgatan 7 / Kungsgatan, Umeå",mcd
17.92701,59.51494,"McDonald´s - Truckvägen 24, Upplands Väsby",mcd
17.66792,59.88529,"McDonald´s - Takpannegatan 33, Uppsala",mcd
17.66113,59.86809,"McDonald´s - Årstagatan 1-3 (Fyra Mackarnas Korsning), Uppsala",mcd
16.99072,60.63233,"McDonald´s - Valbo Köpcentrum, Valbo",mcd
15.57794,58.40655,"McDonald´s - Rydvägen 1, Linköping",mcd
12.27662,57.16899,"McDonald´s - Gunnestorpsvägen 6, Varberg",mcd
16.54652,59.60934,"McDonald´s - Vasagatan 11, Västerås",mcd
18.05915,59.33108,"McDonald´s - Vasagatan 24, Stockholm",mcd
15.64363,56.20409,"McDonald´s - Vedebygatan 3, Karlskrona",mcd
15.09122,57.41573,"McDonald´s - Lasarettsgatan 68, Vetlanda",mcd
14.14385,56.02319,"McDonald´s - Fäladsgatan 2, Kristianstad",mcd
12.8008,58.0410,"McDonald´s - Wallentinsvägen 30 , Vårgårda",mcd
13.47575,59.38373,"McDonald´s - Hagalundsvägen 31, Karlstad",mcd
12.7565,56.0907,"McDonald´s - Välamarknaden 3, Ödåkra",mcd
17.87512,59.36277,"McDonald´s - Ångermannagatan 157, Vällingby",mcd
18.4270,59.3130,"McDonald´s - Fenix väg 2, Gustavsberg",mcd
18.00039,59.29292,"McDonald´s - Kontrollvägen 17, Hägersten",mcd
16.46705,59.39331,"McDonald´s - Västerleden 40, Eskilstuna",mcd
16.63685,57.75969,"McDonald´s - Fiskartorget 1, Västervik",mcd
15.17602,59.27341,"McDonald´s - Efter E18/E20, Örebro",mcd
14.80273,56.87907,"McDonald´s - Storgatan 30, Växjö",mcd
13.79134,55.43859,"McDonald´s - Granatvägen 2, Ystad, Ystad",mcd
13.13872,58.49307,"McDonald´s - Tallskogsvägen 1, Lidköping",mcd
18.28469,59.48065,"McDonald´s - Rallarvägen 1, Åkersberga",mcd
18.04978,59.28648,"McDonald´s - Sockengränd 1, Årsta",mcd
18.01251,59.27231,"McDonald´s - Gamla Huddingevägen 500, Älvsjö",mcd
12.89303,56.25035,"McDonald´s - Klippanvägen 14, Ängelholm",mcd
12.76108,56.01679,"McDonald´s - Rusthållsgatan 53 , Helsingborg",mcd
15.20980,59.26983,"McDonald´s - Drottninggatan 36, Örebro",mcd
13.3377,56.2842,"McDonald´s - Skåneporten 7, Örkelljunga",mcd
14.63657,63.17867,"McDonald´s - Östersund - Prästgatan 24, Östersund",mcd
12.30698,58.31444,"McDonald´s - Överby Köpcenter, Trollhättan",mcd
