longitud,latitud,address,restaurant,fill_type
12.98934,55.76785,"McDonald´s - Marknadsvägen 7 - Center Syd, Löddeköpinge",mcd,small_red
11.96848,57.70985,"McDonald´s - L:a Klädpressaregatan 4, Göteborg",mcd,small_red
12.97647,55.56265,"McDonald´s - Hyllie Stationstorg 17, Malmö",mcd,small_red
13.00309,55.59473,"McDonald´s - Friisgatan 2B, Malmö",mcd,small_red
17.62928,59.19488,"McDonald´s - Västra Kanalgatan 1, Södertälje",mcd,small_red
15.1367,59.2180,"McDonald´s - Marieberg Galleria, Varuvägen 10, Örebro",mcd,small_red
13.81728,58.67844,"McDonald´s - Hammarsmedsgatan 31, Mariestad",mcd,small_red
15.19061,60.15150,"McDonald´s - Tingshusgatan 13, Ludvika",mcd,small_red
14.59051,61.00882,"McDonald´s - Skålmyrsvägen 35, Mora",mcd,small_red
18.14830,59.17686,"McDonald´s - Vendelsövägen 15, Haninge",mcd,small_red
16.21193,58.99576,"McDonald´s - Fabriksgatan 18, Katrineholm",mcd,small_red
12.95675,56.50194,"McDonald´s - Söderleden 5, Mellbystrand ",mcd,small_red
13.02886,55.60839,"McDonald´s - Lundavägen 26, Malmö",mcd,small_red
15.09217,58.32372,"McDonald´s - Sparregatan 2, Mjölby",mcd,small_red
22.13344,65.60276,"McDonald´s - Banvägen1, Luleå",mcd,small_red
13.00396,55.58110,"McDonald´s - Per Albin Hanssons väg 40, Malmö",mcd,small_red
17.66267,59.20040,"McDonald´s - Klastorpsvägen 4, Södertälje",mcd,small_red
15.04390,58.53103,"McDonald´s - Södra Allén 3, Motala",mcd,small_red
13.19640,55.70127,"McDonald´s - Mårtenstorget 12, Lund",mcd,small_red
11.98506,57.64619,"McDonald´s - Jolengatan 3, Mölndal",mcd,small_red
18.16089,59.31294,"McDonald´s - Vikdalsvägen 43, Nacka",mcd,small_red
13.51994,59.39508,"McDonald´s - Östra infarten 3, Karlstad",mcd,small_red
11.2112,59.0641,"McDonald´s - Nordby Köpcenter, Strömstad",mcd,small_red
13.20147,55.72066,"McDonald´s - Skarpskyttevägen 1, Lund",mcd,small_red
14.82823,56.90210,"McDonald´s - Norremarksvägen 4, Växjö",mcd,small_red
13.85493,58.40664,"McDonald´s - Gustav Adolfsgatan  61, Skövde",mcd,small_red
18.68659,59.74796,"McDonald´s - Stockholmsvägen 51, Norrtälje",mcd,small_red
15.93372,56.73511,"McDonald´s - Norra vägen 2K, Nybro",mcd,small_red
18.07790,59.33503,"McDonald´s - Nybrogatan 18, Stockholm",mcd,small_red
18.10016,59.26252,"McDonald´s - Bogårdsvägen 30, Sköndal",mcd,small_red
17.89814,59.54964,"McDonald´s - Rastplats Stora Wäsby, Södergående, Upplands Väsby",mcd,small_red
11.96986,57.70856,"McDonald´s - Postgatan 28, Göteborg",mcd,small_red
11.9333,57.7195,"McDonald´s - Rambergsvallen, Inlandsgatan 50, Göteborg",mcd,small_red
18.06852,59.33083,"McDonald´s - Regeringsgatan 20, Stockholm",mcd,small_red
13.05514,55.58390,"McDonald´s - Thomsons väg 1, Malmö",mcd,small_red
17.94404,59.37997,"McDonald´s - Madenvägen 3, Sundbyberg",mcd,small_red
12.93512,57.73281,"McDonald´s - Ålgårdsvägen 2, Borås",mcd,small_red
13.84617,58.39031,"McDonald´s - Rådhusgatan 8, Skövde",mcd,small_red
14.76413,56.88293,"McDonald´s - Hejaregatan 18, Växjö",mcd,small_red
11.98695,57.69983,"McDonald´s - Valhallagatan 1, Göteborg",mcd,small_red
18.06385,59.33356,"McDonald´s - Sergelgatan 4, Stockholm",mcd,small_red
18.1287,59.3056,"McDonald´s - Siroccogatan 6, Nacka",mcd,small_red
13.46068,58.39019,"McDonald´s - Vilangatan 6, Skara",mcd,small_red
16.54956,59.61064,"McDonald´s - Aroscenter 1210, Västerås",mcd,small_red
12.12537,57.74116,"McDonald´s - Gamla Kronvägen 66, Partille",mcd,small_red
17.93039,59.64889,"McDonald´s - Arlanda Flygplats, Arlanda",mcd,small_red
17.90709,59.27617,"McDonald´s - Bredholmsgatan 18, Skärholmen",mcd,small_red
18.07379,59.31922,"McDonald´s - Katarinavägen 1-3, Stockholm",mcd,small_red
18.01664,59.35282,"McDonald´s - Solnavägen 17, Solna",mcd,small_red
13.23692,55.64253,"McDonald´s - Staffanstorp, Staffanstorp",mcd,small_red
12.70483,56.05767,"McDonald´s - Ängelholmsvägen 8, Helsingborg",mcd,small_red
16.56363,59.63641,"McDonald´s - Kraftlinjegatan 1, Västerås",mcd,small_red
17.56102,59.84972,"McDonald´s - Fyrisparksvägen 1, Uppsala",mcd,small_red
11.81754,58.06186,"McDonald´s - Stenunge allé 1, Stenungsund",mcd,small_red
11.9921,57.7470,"McDonald´s - Importgatan 1, Hisings Backa",mcd,small_red
13.81885,56.17062,"McDonald´s - Mackgatan 4, Hässleholm",mcd,small_red
16.16553,58.60275,"McDonald´s - Apelgatan 18, Norrköping",mcd,small_red
12.93844,57.73210,"McDonald´s - Bergslenagatan 8 , Borås",mcd,small_red
17.0174,59.3285,"McDonald´s - Kvartsgatan 2, Strängnäs",mcd,small_red
15.96640,59.51785,"McDonald´s - Ringvägen 80, Köping",mcd,small_red
17.81084,59.46917,"McDonald´s - Skarprättarvägen 40, Järfälla",mcd,small_red
17.96879,59.36206,"McDonald´s - Stationsgatan 1, Sundbyberg",mcd,small_red
17.3302,62.4415,"McDonald´s - Sundsvall - Klökanvägen 3, Sundsvall",mcd,small_red
18.05589,59.34345,"McDonald´s - Sveavägen 71, Stockholm",mcd,small_red
13.24537,55.51567,"McDonald´s - Verkstadsgatan 11, Svedala",mcd,small_red
15.82736,59.42578,"McDonald´s - Sätra Trafikplats Hamre, Arboga",mcd,small_red
18.16063,59.18097,"McDonald´s - Österport 6, Haninge",mcd,small_red
17.02815,61.29840,"McDonald´s - Pinassvägen 1, Söderhamn",mcd,small_red
15.19817,59.26456,"McDonald´s - Södermalmsplan 1, Örebro",mcd,small_red
13.90632,56.81418,"McDonald´s - Södra infarten - Ringvägen 1C, Ljungby",mcd,small_red
18.03226,59.33373,"McDonald´s - S:t Eriksgatan 32, Stockholm",mcd,small_red
15.59008,58.43264,"McDonald´s - Svedengatan 14, Linköping",mcd,small_red
11.8092,58.3524,"McDonald´s - Torp Köpcentrum, Uddevalla",mcd,small_red
14.07376,57.16311,"McDonald´s - Trafikplats Värnamo Södra, Värnamo",mcd,small_red
13.12066,55.38405,"McDonald´s - Hedvägen 203, Trelleborg",mcd,small_red
17.84152,59.19859,"McDonald´s - Bryggarevägen 5, Tumba",mcd,small_red
18.23099,59.24928,"McDonald´s - Siklöjevägen 1, Tyresö",mcd,small_red
18.07110,59.44490,"McDonald´s - Täby Centrum 168, Täby",mcd,small_red
11.819100,59.510201,"McDonald´s - Linudden1, Töcksfors",mcd,small_red
11.93268,58.34957,"McDonald´s - Kungsgatan 2, Uddevalla",mcd,small_red
20.26189,63.82600,"McDonald´s - Västra Rådhusgatan 7 / Kungsgatan, Umeå",mcd,small_red
17.92701,59.51494,"McDonald´s - Truckvägen 24, Upplands Väsby",mcd,small_red
17.66792,59.88529,"McDonald´s - Takpannegatan 33, Uppsala",mcd,small_red
17.66113,59.86809,"McDonald´s - Årstagatan 1-3 (Fyra Mackarnas Korsning), Uppsala",mcd,small_red
16.99072,60.63233,"McDonald´s - Valbo Köpcentrum, Valbo",mcd,small_red
15.57794,58.40655,"McDonald´s - Rydvägen 1, Linköping",mcd,small_red
12.27662,57.16899,"McDonald´s - Gunnestorpsvägen 6, Varberg",mcd,small_red
16.54652,59.60934,"McDonald´s - Vasagatan 11, Västerås",mcd,small_red
18.05915,59.33108,"McDonald´s - Vasagatan 24, Stockholm",mcd,small_red
15.64363,56.20409,"McDonald´s - Vedebygatan 3, Karlskrona",mcd,small_red
15.09122,57.41573,"McDonald´s - Lasarettsgatan 68, Vetlanda",mcd,small_red
14.14385,56.02319,"McDonald´s - Fäladsgatan 2, Kristianstad",mcd,small_red
12.8008,58.0410,"McDonald´s - Wallentinsvägen 30 , Vårgårda",mcd,small_red
13.47575,59.38373,"McDonald´s - Hagalundsvägen 31, Karlstad",mcd,small_red
12.7565,56.0907,"McDonald´s - Välamarknaden 3, Ödåkra",mcd,small_red
17.87512,59.36277,"McDonald´s - Ångermannagatan 157, Vällingby",mcd,small_red
18.4270,59.3130,"McDonald´s - Fenix väg 2, Gustavsberg",mcd,small_red
18.00039,59.29292,"McDonald´s - Kontrollvägen 17, Hägersten",mcd,small_red
16.46705,59.39331,"McDonald´s - Västerleden 40, Eskilstuna",mcd,small_red
16.63685,57.75969,"McDonald´s - Fiskartorget 1, Västervik",mcd,small_red
15.17602,59.27341,"McDonald´s - Efter E18/E20, Örebro",mcd,small_red
14.80273,56.87907,"McDonald´s - Storgatan 30, Växjö",mcd,small_red
13.79134,55.43859,"McDonald´s - Granatvägen 2, Ystad, Ystad",mcd,small_red
13.13872,58.49307,"McDonald´s - Tallskogsvägen 1, Lidköping",mcd,small_red
18.28469,59.48065,"McDonald´s - Rallarvägen 1, Åkersberga",mcd,small_red
18.04978,59.28648,"McDonald´s - Sockengränd 1, Årsta",mcd,small_red
18.01251,59.27231,"McDonald´s - Gamla Huddingevägen 500, Älvsjö",mcd,small_red
12.89303,56.25035,"McDonald´s - Klippanvägen 14, Ängelholm",mcd,small_red
12.76108,56.01679,"McDonald´s - Rusthållsgatan 53 , Helsingborg",mcd,small_red
15.20980,59.26983,"McDonald´s - Drottninggatan 36, Örebro",mcd,small_red
13.3377,56.2842,"McDonald´s - Skåneporten 7, Örkelljunga",mcd,small_red
14.63657,63.17867,"McDonald´s - Östersund - Prästgatan 24, Östersund",mcd,small_red
12.30698,58.31444,"McDonald´s - Överby Köpcenter, Trollhättan",mcd,small_red
12.53056,57.92361,"Hantverksgatan 1 Alingsås",max,small_blue
21.70799,65.81734,"Lulevägen 27 Boden",max,small_blue
16.38848,61.34853,"Postgränd 6 Bollnäs",max,small_blue
15.43601,60.47693,"Åkrerondellen 7 Borlänge",max,small_blue
12.93371,57.73401,"Ålgårdsvägen 16 Borås",max,small_blue
17.08111,59.65278,"Romgatan 2 Enköping",max,small_blue
16.47011,59.37484,"Albertina Nyströmsv. 3 Eskilstuna",max,small_blue
16.46639,59.3925,"Västerleden 44 Eskilstuna",max,small_blue
12.51805,56.93167,"Mellangårdsvägen 6 Falkenberg",max,small_blue
15.64167,60.60444,"Tullkammaregatan 8 Falun",max,small_blue
17.16041,60.66007,"S:a Kungsvägen 8 Gävle",max,small_blue
17.13691,60.68083,"N:a Kungsgatan 45 Gävle",max,small_blue
12.10513,57.73754,"Allum 252, Nils Henrikssonsv 3 Göteborg",max,small_blue
11.98,57.706,"Gunnar Grens plats 1 Göteborg",max,small_blue
12.02963,57.72397,"Torpavallsgatan 4C Göteborg",max,small_blue
12.80364,56.67801,"Kundvägen 2 Halmstad",max,small_blue
12.90812,56.65844,"Snösvängen 1 Halmstad",max,small_blue
24.13335,65.84106,"Norra Esplanaden 8 Haparanda",max,small_blue
12.70213,56.04054,"Södergatan 15 Helsingborg",max,small_blue
12.76485,56.09213,"Björkavägen 103 Helsingborg",max,small_blue
12.85204,56.09957,"Vångavägen 6 Helsingborg",max,small_blue
14.22667,57.78056,"Hästhovsvägen 8 Jönköping",max,small_blue
14.17614,57.77349,"Herkulesvägen 1 Jönköping",max,small_blue
14.15294,57.76517,"Jordbrovägen 8 Jönköping",max,small_blue
16.31586,56.69138,"Guldfågeln Arena, Trångsundsvägen 40 Kalmar",max,small_blue
16.35389,56.6675,"Trädgårdsgatan 17 Kalmar",max,small_blue
14.52571,59.32497,"Viaduktgatan 4 Karlskoga",max,small_blue
15.63229,56.19543,"Lallerstedts gata 7 Karlskrona",max,small_blue
13.42536,59.37901,"Bergviksväg 29A Karlstad",max,small_blue
13.46839,59.38142,"Våxnäsgatan 158 Karlstad",max,small_blue
14.14483,56.02249,"Gamla Långebrogatan 42 Kristianstad",max,small_blue
15.97279,59.52036,"Ringvägen 74 Köping",max,small_blue
15.65716,58.41762,"Torvingegatan 1 Linköping",max,small_blue
15.59313,58.43483,"Svedengatan 11 Linköping",max,small_blue
13.90722,56.8125,"Nyponvägen 2 Ljungby",max,small_blue
22.1544,65.58531,"Timmermansgatan 19C Luleå",max,small_blue
22.13859,65.60239,"Midgårdsvägen 24 Luleå",max,small_blue
22.04153,65.61809,"Storhedsvägen 1C Luleå",max,small_blue
22.14797,65.59006,"Robertviksgatan 1 Luleå",max,small_blue
13.15624,55.71622,"Förhandlingsvägen 1 Lund",max,small_blue
13.18172,55.71144,"Kung Oscars väg 14 Lund",max,small_blue
12.98831,55.77137,"Handelsvägen 1 Löddeköpinge",max,small_blue
12.97194,55.56361,"Hyllie Stationsväg 22 Malmö",max,small_blue
13.00011,55.60554,"Stortorget 25 Malmö",max,small_blue
13.03861,55.57195,"Cypressvägen 6a Malmö",max,small_blue
15.08972,58.32389,"Armborstgatan 2 Mjölby",max,small_blue
16.15944,58.61194,"Koppargatan 2b Norrköping",max,small_blue
16.1898,58.59741,"Norra Promenaden 90A Norrköping",max,small_blue
16.97857,58.74833,"Gumsbackevägen 2 Nyköping",max,small_blue
17.02339,58.77317,"Stenbocksvägen 2 Nyköping",max,small_blue
21.47412,65.32063,"Källbogatan 6 Piteå",max,small_blue
20.95988,64.75089,"Kanalgatan 50 Skellefteå",max,small_blue
20.96351,64.73857,"Mackvägen 7 Skellefteå",max,small_blue
13.87419,58.40839,"Norra Metallvägen 2 Skövde",max,small_blue
17.92853,59.64765,"Arlanda Stockholm",max,small_blue
17.93443,59.65177,"Arlanda Stockholm",max,small_blue
17.930795,59.651127,"Arlanda Stockholm",max,small_blue
17.85438,59.4207,"Folkungav/G:a Enköpingsv Stockholm",max,small_blue
18.10321,59.30215,"Öppen Lugnets Allé 22 Stockholm",max,small_blue
17.92417,59.49583,"Breddenvägen 1 Stockholm",max,small_blue
17.94658,59.40244,"Kista Galleria Stockholm",max,small_blue
18.07174,59.33274,"Kungsträdgårdsgatan 20 Stockholm",max,small_blue
18.12944,59.2,"Lissmavägen 24 Stockholm",max,small_blue
17.854166,59.253163,"Fågelviksvägen 2 Stockholm",max,small_blue
18.032167,59.346746,"Hagaesplanaden 46 Stockholm",max,small_blue
17.99429,59.36046,"Huvudstagatan 2A Stockholm",max,small_blue
18.12889,59.46,"Antennvägen 4 Stockholm",max,small_blue
17.95695,59.35056,"Ulvsundavägen 160 Stockholm",max,small_blue
18.05735,59.33234,"Vasagatan 7 Stockholm",max,small_blue
17.8766,59.25138,"Masmovägen 2 Stockholm",max,small_blue
18.42505,59.31207,"Afrodites väg 3 Stockholm",max,small_blue
11.20562,59.06511,"Nordby köpcenter mellersta Strömstad",max,small_blue
17.34406,62.44239,"Antennvägen 5 Sundsvall",max,small_blue
17.31938,62.38698,"Landsvägsallén 5 Sundsvall",max,small_blue
17.60931,59.20225,"Ängsgatan 37 Södertälje",max,small_blue
12.29134,58.28535,"Kungsgatan 30 Trollhättan",max,small_blue
12.30583,58.31553,"Anes väg 4 Trollhättan",max,small_blue
11.81156,58.35169,"Herrestads Torp 310 Uddevalla",max,small_blue
20.2645,63.8257,"Kungsgatan 63 Umeå",max,small_blue
20.25942,63.82979,"V:a Esplanaden 20 Umeå",max,small_blue
17.69103,59.85037,"Bolandsgatan 22 Uppsala",max,small_blue
